Chevrolet Cruze,легковой автомобиль хэтчбэк,46
Kia Stinger,минивэн,27
BMW X3,легковой автомобиль седан,24
Volvo S90,минивэн,43
Jaguar XJ,кроссовер,21
Nissan Pathfinder,легковой автомобиль седан,50
LADA Granta,легковой автомобиль хэтчбэк,44
Nissan Sentra,минивэн,62
Chevrolet Malibu,легковой автомобиль хэтчбэк,24
Chevrolet Silverado,кроссовер,49
Subaru WRX,легковой автомобиль седан,38
Chevrolet Silverado,минивэн,55
LADA Priora,кроссовер,19
Audi Q3,кроссовер,24
Nissan Rogue,легковой автомобиль седан,51
Mazda RX-8,минивэн,49
BMW 3 Series,минивэн,65
Audi Q3,кроссовер,38
Ferrari 458,кроссовер,33
Volkswagen Atlas,легковой автомобиль седан,21
Ford Fusion,легковой автомобиль седан,24
Kia Optima,кроссовер,67
Porsche Panamera,минивэн,63
Audi Q3,минивэн,40
Mazda MX-5,кроссовер,55
Volvo XC60,кроссовер,21
Hyundai Santa Fe,легковой автомобиль седан,28
Mercedes-Benz C-Class,минивэн,29
Nissan Versa,легковой автомобиль седан,29
Porsche Cayman,легковой автомобиль хэтчбэк,42
Honda CR-V,легковой автомобиль хэтчбэк,56
Hyundai Tucson,легковой автомобиль седан,68
Mercedes-Benz C-Class,минивэн,52
Mercedes-Benz C-Class,легковой автомобиль седан,50
Nissan Rogue,минивэн,38
BMW X1,минивэн,45
Lamborghini Huracan,кроссовер,25
Hyundai Tucson,легковой автомобиль седан,23
LADA XRAY,минивэн,64
LADA Granta,минивэн,33
Lamborghini Reventon,легковой автомобиль хэтчбэк,68
Volvo V90,минивэн,19
Toyota Tacoma,легковой автомобиль хэтчбэк,59
Audi A4,легковой автомобиль хэтчбэк,45
Ford Mustang,минивэн,33
Volvo S90,легковой автомобиль седан,54
Subaru Crosstrek,кроссовер,70
Mercedes-Benz E-Class,кроссовер,45
Porsche Panamera,минивэн,60
LADA XRAY,легковой автомобиль седан,59
Ferrari 458,легковой автомобиль хэтчбэк,47
Honda Civic,легковой автомобиль седан,29
Ford Fiesta,кроссовер,52
Kia Sorento,легковой автомобиль хэтчбэк,63
Audi Q7,легковой автомобиль седан,70
Audi Q5,минивэн,61
Volkswagen Tiguan,легковой автомобиль седан,19
BMW 7 Series,кроссовер,32
Ferrari Portofino,кроссовер,30
Lamborghini Huracan,легковой автомобиль седан,27
LADA XRAY,кроссовер,22
Volvo V90,легковой автомобиль седан,57
Toyota Tacoma,минивэн,52
Audi A6,легковой автомобиль седан,30
Honda Accord,кроссовер,38
Honda Fit,кроссовер,22
Mazda RX-8,легковой автомобиль хэтчбэк,70
Porsche Macan,легковой автомобиль седан,32
Nissan Rogue,минивэн,34
Nissan Rogue,кроссовер,56
Audi Q3,легковой автомобиль хэтчбэк,44
Porsche Panamera,легковой автомобиль седан,33
BMW X1,легковой автомобиль седан,25
Lamborghini Urus,минивэн,54
BMW 7 Series,кроссовер,62
Volvo XC60,легковой автомобиль седан,60
Lamborghini Reventon,легковой автомобиль хэтчбэк,25
Kia Optima,легковой автомобиль седан,33
Hyundai Kona,легковой автомобиль хэтчбэк,67
BMW 5 Series,легковой автомобиль седан,39
Porsche Cayman,кроссовер,26
BMW X5,легковой автомобиль хэтчбэк,49
Audi A3,легковой автомобиль седан,37
Audi A3,легковой автомобиль седан,44
Mercedes-Benz GLC,минивэн,64
Mercedes-Benz GLE,минивэн,33
Volkswagen Passat,легковой автомобиль хэтчбэк,35
Hyundai Tucson,минивэн,54
Toyota Camry,кроссовер,40
Volvo V90,легковой автомобиль седан,61
Ford Focus,легковой автомобиль хэтчбэк,62
Mercedes-Benz C-Class,минивэн,59
Chevrolet Traverse,минивэн,18
Toyota Prius,легковой автомобиль хэтчбэк,28
LADA Kalina,минивэн,62
Honda Accord,кроссовер,50
Jaguar F-Pace,легковой автомобиль хэтчбэк,36
Volvo XC60,кроссовер,46
Ford Focus,легковой автомобиль седан,70
Honda Civic,кроссовер,54
Ferrari GTC4Lusso,легковой автомобиль хэтчбэк,18
Mazda CX-9,легковой автомобиль седан,54
Jaguar XF,кроссовер,20
Lamborghini Sian,минивэн,52
Toyota Camry,минивэн,47
Ferrari GTC4Lusso,минивэн,26
Mazda CX-5,легковой автомобиль хэтчбэк,43
Honda Civic,кроссовер,28
Mazda MX-5,легковой автомобиль седан,44
Nissan Rogue,легковой автомобиль седан,50
Jaguar XF,легковой автомобиль хэтчбэк,22
Lamborghini Centenario,минивэн,55
BMW X1,минивэн,20
Mazda RX-8,кроссовер,45
Mercedes-Benz GLC,легковой автомобиль седан,49
Porsche Panamera,минивэн,36
Hyundai Santa Fe,кроссовер,32
Jaguar XJ,легковой автомобиль седан,56
Hyundai Accent,легковой автомобиль седан,22
Mazda MX-5,минивэн,68
Audi Q7,легковой автомобиль седан,40
Kia Stinger,легковой автомобиль седан,44
Mazda Mazda6,легковой автомобиль хэтчбэк,69
Audi A6,легковой автомобиль хэтчбэк,65
Jaguar E-Pace,кроссовер,27
Kia Optima,легковой автомобиль хэтчбэк,39
Kia Soul,легковой автомобиль хэтчбэк,18
Subaru Impreza,минивэн,58
LADA Priora,легковой автомобиль седан,30
Lamborghini Huracan,легковой автомобиль седан,43
Subaru Impreza,кроссовер,48
Chevrolet Traverse,легковой автомобиль седан,31
Toyota Corolla,кроссовер,25
Ford Focus,минивэн,38
Hyundai Kona,легковой автомобиль хэтчбэк,67
Jaguar XE,легковой автомобиль седан,35
LADA Vesta,минивэн,32
Ferrari 812,кроссовер,69
BMW X1,кроссовер,43
Mercedes-Benz GLE,кроссовер,33
Ford Fiesta,кроссовер,33
Toyota Rav4,легковой автомобиль хэтчбэк,31
Volkswagen Jetta,минивэн,56
Ford Fusion,легковой автомобиль седан,49
Honda CR-V,легковой автомобиль седан,46
Hyundai Santa Fe,легковой автомобиль седан,69
LADA Granta,кроссовер,24
Chevrolet Traverse,легковой автомобиль хэтчбэк,27
Jaguar F-Pace,легковой автомобиль седан,48
Mercedes-Benz A-Class,кроссовер,37
Audi A3,легковой автомобиль хэтчбэк,41
Volkswagen Atlas,кроссовер,18
Porsche Cayman,минивэн,51
Hyundai Santa Fe,легковой автомобиль седан,31
Volkswagen Atlas,легковой автомобиль хэтчбэк,48
Lamborghini Aventador,кроссовер,65
Mercedes-Benz A-Class,легковой автомобиль седан,36
Mercedes-Benz A-Class,легковой автомобиль седан,20
Ford Fiesta,легковой автомобиль хэтчбэк,69
Porsche 911,легковой автомобиль седан,31
Honda Fit,кроссовер,55
Honda Accord,минивэн,21
Jaguar E-Pace,легковой автомобиль седан,62
BMW 5 Series,кроссовер,48
Chevrolet Equinox,легковой автомобиль хэтчбэк,67
Subaru Outback,минивэн,45
Audi Q5,легковой автомобиль хэтчбэк,34
Mazda Mazda6,легковой автомобиль седан,65
Volkswagen Beetle,легковой автомобиль седан,31
Audi A6,легковой автомобиль хэтчбэк,19
Volkswagen Beetle,кроссовер,37
Ford Focus,минивэн,60
BMW 7 Series,легковой автомобиль хэтчбэк,39
Ford Focus,минивэн,52
LADA Priora,минивэн,63
Volvo XC60,легковой автомобиль хэтчбэк,70
BMW X3,кроссовер,64
Nissan Altima,легковой автомобиль хэтчбэк,21
Mazda CX-9,легковой автомобиль седан,49
Kia Rio,легковой автомобиль седан,19
Ferrari GTC4Lusso,кроссовер,31
Kia Sportage,легковой автомобиль хэтчбэк,67
LADA Niva,кроссовер,50
Kia Sorento,легковой автомобиль хэтчбэк,31
Nissan Pathfinder,минивэн,39
Mazda CX-5,легковой автомобиль хэтчбэк,65
BMW X1,легковой автомобиль седан,43
Ford Fiesta,минивэн,63
LADA Niva,минивэн,43
BMW 5 Series,легковой автомобиль хэтчбэк,52
Ford Explorer,легковой автомобиль седан,61
Honda Odyssey,кроссовер,23
Mazda Mazda3,легковой автомобиль седан,52
LADA Kalina,легковой автомобиль хэтчбэк,23
Mercedes-Benz GLE,легковой автомобиль хэтчбэк,29
Hyundai Sonata,кроссовер,62
Hyundai Accent,легковой автомобиль хэтчбэк,46
Lamborghini Aventador,легковой автомобиль хэтчбэк,60
Volkswagen Golf,легковой автомобиль седан,24
Ford Focus,легковой автомобиль седан,68
Lamborghini Huracan,кроссовер,60
Chevrolet Traverse,легковой автомобиль хэтчбэк,65
Volkswagen Golf,легковой автомобиль седан,57
Mercedes-Benz E-Class,кроссовер,31
Ford Mustang,кроссовер,62
Mercedes-Benz GLC,легковой автомобиль седан,23
BMW X5,кроссовер,56
Subaru WRX,кроссовер,55
Volkswagen Beetle,легковой автомобиль хэтчбэк,57
Mercedes-Benz S-Class,легковой автомобиль седан,63
Nissan Versa,кроссовер,20
Subaru Outback,легковой автомобиль седан,62
Nissan Rogue,кроссовер,65
Nissan Pathfinder,легковой автомобиль седан,22
LADA Priora,кроссовер,67
Hyundai Santa Fe,минивэн,60
Ford Escape,легковой автомобиль седан,41
Chevrolet Equinox,легковой автомобиль седан,50
Hyundai Sonata,кроссовер,56
Honda Fit,легковой автомобиль хэтчбэк,65
Ford Escape,минивэн,49
Honda Civic,легковой автомобиль хэтчбэк,23
Hyundai Sonata,минивэн,57
Porsche Macan,минивэн,27
Audi A3,легковой автомобиль седан,34
BMW X1,легковой автомобиль седан,19
Lamborghini Centenario,минивэн,68
LADA Priora,легковой автомобиль хэтчбэк,50
Porsche 911,кроссовер,47
LADA Kalina,легковой автомобиль седан,68
Kia Rio,минивэн,35
Subaru Crosstrek,легковой автомобиль хэтчбэк,45
Jaguar E-Pace,легковой автомобиль хэтчбэк,53
Toyota Camry,кроссовер,31
Hyundai Tucson,легковой автомобиль седан,51
Mercedes-Benz GLE,легковой автомобиль седан,31
LADA Kalina,легковой автомобиль хэтчбэк,62
Mazda RX-8,кроссовер,44
Ferrari 812,легковой автомобиль седан,33
Ford Fiesta,легковой автомобиль хэтчбэк,36
Subaru WRX,легковой автомобиль хэтчбэк,39
Chevrolet Cruze,легковой автомобиль хэтчбэк,61
Mercedes-Benz GLC,кроссовер,53
Ferrari 488,минивэн,63
Ford Fiesta,легковой автомобиль хэтчбэк,33
Toyota Camry,легковой автомобиль хэтчбэк,62
Ferrari 488,минивэн,22
LADA Vesta,кроссовер,25
Kia Optima,легковой автомобиль хэтчбэк,35
Ferrari 458,минивэн,60
Lamborghini Urus,кроссовер,65
Ferrari 488,кроссовер,41
Audi A6,минивэн,56
Subaru Crosstrek,легковой автомобиль седан,44
Honda Accord,кроссовер,28
Mercedes-Benz GLC,легковой автомобиль седан,53
Mercedes-Benz GLC,кроссовер,57
Ferrari 458,минивэн,63
Volvo XC90,кроссовер,43
Jaguar XJ,кроссовер,70
Ferrari 812,легковой автомобиль седан,21
Volvo V90,кроссовер,47
LADA Vesta,минивэн,55
Subaru Crosstrek,кроссовер,41
Lamborghini Centenario,кроссовер,27
Honda Pilot,легковой автомобиль хэтчбэк,49
Audi A6,минивэн,47
Toyota Prius,минивэн,56
Lamborghini Huracan,минивэн,39
Lamborghini Sian,минивэн,34
Porsche Boxster,кроссовер,37
Mazda Mazda6,легковой автомобиль седан,20
Jaguar XF,легковой автомобиль седан,20
Kia Stinger,легковой автомобиль хэтчбэк,66
Porsche Cayenne,легковой автомобиль седан,60
Mercedes-Benz GLC,легковой автомобиль хэтчбэк,30
Volkswagen Beetle,легковой автомобиль седан,44
Volvo V60,кроссовер,40
Kia Sportage,кроссовер,34
BMW 3 Series,кроссовер,70
LADA Niva,минивэн,44
Audi Q5,минивэн,70
BMW 3 Series,легковой автомобиль седан,29
Kia Optima,минивэн,33
Porsche Cayman,минивэн,18
LADA Vesta,кроссовер,59
Chevrolet Traverse,кроссовер,25
Chevrolet Malibu,минивэн,56
Subaru Crosstrek,минивэн,29
Mazda Mazda3,кроссовер,36
Honda Odyssey,легковой автомобиль седан,30
Ford Escape,минивэн,52
Mazda Mazda6,кроссовер,41
Honda Fit,минивэн,49
Mazda Mazda3,кроссовер,33
Jaguar XF,легковой автомобиль седан,56
Mercedes-Benz C-Class,минивэн,66
BMW X5,минивэн,58
Toyota Prius,кроссовер,40
LADA XRAY,кроссовер,22
Audi Q7,легковой автомобиль хэтчбэк,47
Subaru Outback,легковой автомобиль седан,61
Volvo S90,минивэн,30
Ferrari Portofino,кроссовер,48
Honda Civic,легковой автомобиль седан,44
Nissan Pathfinder,минивэн,31
Kia Soul,легковой автомобиль хэтчбэк,25
Porsche Boxster,легковой автомобиль седан,38
Mazda Mazda3,минивэн,37
Ford Focus,легковой автомобиль хэтчбэк,38
Nissan Rogue,минивэн,64
Porsche Panamera,кроссовер,32
BMW X1,кроссовер,29
Nissan Rogue,легковой автомобиль седан,64
Porsche Panamera,легковой автомобиль седан,63
Kia Sorento,минивэн,53
BMW 7 Series,минивэн,46
Ford Explorer,легковой автомобиль седан,53
Chevrolet Malibu,легковой автомобиль хэтчбэк,32
Chevrolet Traverse,кроссовер,27
Lamborghini Urus,минивэн,70
Mercedes-Benz C-Class,легковой автомобиль хэтчбэк,24
Mazda Mazda3,минивэн,41
Mazda Mazda3,легковой автомобиль хэтчбэк,48
Ferrari 458,кроссовер,26
Honda Accord,кроссовер,23
Hyundai Kona,легковой автомобиль седан,46
Volvo XC90,кроссовер,45
Jaguar XE,минивэн,30
LADA XRAY,легковой автомобиль седан,58
BMW 7 Series,кроссовер,39
Hyundai Accent,легковой автомобиль хэтчбэк,60
Porsche 911,легковой автомобиль седан,23
Ford Fusion,легковой автомобиль хэтчбэк,44
Volkswagen Atlas,кроссовер,37
Porsche Cayenne,кроссовер,41
BMW 7 Series,кроссовер,67
Lamborghini Sian,легковой автомобиль хэтчбэк,39
Mercedes-Benz A-Class,легковой автомобиль седан,31
Mercedes-Benz A-Class,минивэн,57
Mazda Mazda6,кроссовер,37
Mazda MX-5,кроссовер,69
Toyota Prius,кроссовер,43
Audi Q5,легковой автомобиль хэтчбэк,23
Kia Stinger,минивэн,24
Porsche Panamera,легковой автомобиль хэтчбэк,22
Mercedes-Benz E-Class,легковой автомобиль седан,56
Jaguar XE,легковой автомобиль седан,21
Porsche Macan,кроссовер,63
Kia Optima,легковой автомобиль хэтчбэк,62
Ferrari SF90 Stradale,минивэн,55
Volvo XC90,минивэн,70
Toyota Tacoma,легковой автомобиль хэтчбэк,25
Toyota Camry,легковой автомобиль хэтчбэк,52
Hyundai Tucson,легковой автомобиль седан,58
Audi Q7,легковой автомобиль хэтчбэк,67
Porsche Cayenne,кроссовер,26
Chevrolet Cruze,минивэн,35
Nissan Versa,легковой автомобиль хэтчбэк,63
Nissan Maxima,легковой автомобиль седан,52
Subaru Impreza,легковой автомобиль седан,42
Ford Fiesta,легковой автомобиль седан,57
Volvo XC60,легковой автомобиль хэтчбэк,42
Mazda RX-8,легковой автомобиль хэтчбэк,58
Toyota Camry,легковой автомобиль седан,29
Audi A4,кроссовер,69
Volkswagen Tiguan,легковой автомобиль хэтчбэк,56
Hyundai Accent,минивэн,70
Chevrolet Spark,минивэн,22
Ferrari 488,легковой автомобиль седан,52
Mazda CX-9,легковой автомобиль седан,41
Mercedes-Benz C-Class,кроссовер,29
Volkswagen Beetle,легковой автомобиль седан,63
Volvo S60,кроссовер,59
Porsche 911,кроссовер,67
Volkswagen Jetta,легковой автомобиль седан,34
Volkswagen Golf,минивэн,57
Mercedes-Benz S-Class,минивэн,69
Toyota Highlander,кроссовер,25
LADA Granta,легковой автомобиль седан,55
Ferrari 488,легковой автомобиль седан,42
Toyota Rav4,легковой автомобиль хэтчбэк,27
Audi Q5,кроссовер,48
Nissan Pathfinder,легковой автомобиль хэтчбэк,30
Porsche 911,минивэн,21
Nissan Altima,кроссовер,35
Kia Sportage,легковой автомобиль седан,34
BMW X3,кроссовер,48
LADA Niva,кроссовер,26
Jaguar XE,легковой автомобиль хэтчбэк,65
Volkswagen Atlas,легковой автомобиль хэтчбэк,40
BMW 3 Series,минивэн,66
Volvo XC90,минивэн,54
Volkswagen Passat,минивэн,22
Volkswagen Atlas,легковой автомобиль хэтчбэк,36
Ford Focus,легковой автомобиль седан,28
Volkswagen Jetta,минивэн,24
Volvo XC60,кроссовер,19
LADA Granta,легковой автомобиль седан,65
LADA Vesta,кроссовер,51
Mercedes-Benz A-Class,минивэн,34
Kia Optima,кроссовер,33
LADA Vesta,минивэн,37
Chevrolet Traverse,легковой автомобиль седан,28
Ford Mustang,легковой автомобиль седан,45
BMW X1,легковой автомобиль хэтчбэк,32
Mazda Mazda3,минивэн,52
Honda Pilot,минивэн,43
Nissan Sentra,кроссовер,60
Kia Stinger,кроссовер,28
Honda Civic,минивэн,47
Jaguar XF,минивэн,42
BMW 3 Series,кроссовер,26
Kia Sportage,легковой автомобиль седан,40
Honda Odyssey,кроссовер,23
Hyundai Elantra,кроссовер,34
Toyota Rav4,минивэн,67
Jaguar I-Pace,легковой автомобиль хэтчбэк,67
Honda Odyssey,легковой автомобиль седан,61
Porsche Panamera,минивэн,25
Lamborghini Aventador,легковой автомобиль седан,57
Chevrolet Cruze,легковой автомобиль седан,68
Toyota Highlander,минивэн,37
Jaguar F-Pace,кроссовер,66
BMW 7 Series,легковой автомобиль хэтчбэк,70
Mercedes-Benz C-Class,кроссовер,36
Mercedes-Benz GLE,минивэн,50
Hyundai Accent,кроссовер,54
Jaguar XF,минивэн,25
Kia Sportage,легковой автомобиль седан,18
Mazda Mazda6,легковой автомобиль хэтчбэк,69
Volkswagen Beetle,минивэн,27
Jaguar E-Pace,легковой автомобиль хэтчбэк,19
LADA Vesta,минивэн,21
Ferrari Portofino,кроссовер,32
Ford Escape,кроссовер,70
Mercedes-Benz C-Class,легковой автомобиль хэтчбэк,42
Mercedes-Benz E-Class,легковой автомобиль седан,37
Audi Q7,легковой автомобиль седан,19
Volkswagen Jetta,легковой автомобиль седан,27
Toyota Tacoma,кроссовер,62
LADA XRAY,кроссовер,69
Hyundai Accent,минивэн,67
Mercedes-Benz GLC,минивэн,60
Jaguar E-Pace,легковой автомобиль хэтчбэк,31
Mazda CX-5,минивэн,44
Nissan Altima,минивэн,70
Ford Focus,легковой автомобиль седан,69
BMW 3 Series,легковой автомобиль хэтчбэк,25
Chevrolet Silverado,легковой автомобиль хэтчбэк,42
Jaguar I-Pace,кроссовер,29
Mazda RX-8,минивэн,22
Ferrari GTC4Lusso,легковой автомобиль седан,45
Hyundai Tucson,минивэн,20
Chevrolet Silverado,минивэн,30
Ferrari Portofino,легковой автомобиль седан,50
Mazda CX-5,легковой автомобиль седан,53
Ford Focus,легковой автомобиль седан,32
Honda Accord,минивэн,39
LADA Vesta,легковой автомобиль седан,69
Jaguar F-Pace,легковой автомобиль седан,19
Subaru Impreza,минивэн,53
Nissan Maxima,кроссовер,33
LADA Vesta,легковой автомобиль седан,36
Nissan Pathfinder,легковой автомобиль хэтчбэк,36
Audi A4,кроссовер,45
BMW X5,минивэн,43
Hyundai Sonata,минивэн,40
BMW X1,легковой автомобиль седан,28
Nissan Rogue,легковой автомобиль хэтчбэк,37
Honda Civic,легковой автомобиль седан,19
LADA XRAY,минивэн,67
LADA Granta,легковой автомобиль хэтчбэк,54
Hyundai Accent,кроссовер,56
Honda CR-V,легковой автомобиль седан,22
Subaru Outback,легковой автомобиль хэтчбэк,18
BMW X3,минивэн,37
Volvo S90,легковой автомобиль седан,24
Jaguar E-Pace,легковой автомобиль седан,57
Mazda MX-5,минивэн,19
Honda Civic,кроссовер,63
Chevrolet Equinox,минивэн,70
Volvo V60,минивэн,67
BMW 7 Series,кроссовер,26
Chevrolet Traverse,кроссовер,21
Mazda RX-8,кроссовер,69
Volvo XC90,легковой автомобиль хэтчбэк,29
BMW X3,кроссовер,45
Kia Rio,легковой автомобиль седан,68
Ford Fiesta,кроссовер,33
Volvo V90,кроссовер,36
Mercedes-Benz GLE,легковой автомобиль хэтчбэк,43
Nissan Maxima,легковой автомобиль седан,50
Ferrari GTC4Lusso,легковой автомобиль седан,19
Kia Soul,кроссовер,61
Ferrari GTC4Lusso,кроссовер,54
Mercedes-Benz GLC,легковой автомобиль седан,31
Jaguar XJ,минивэн,70
Mazda MX-5,легковой автомобиль седан,50
Ford Fusion,легковой автомобиль хэтчбэк,70
LADA Vesta,легковой автомобиль хэтчбэк,50
